freq,purchase,unit,geo\TIME_PERIOD	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,DW_EXST,I15_A_AVG,SE	49.20 	56.36 	64.10 	64.39 	65.98 	71.92 	73.26 	73.91 	78.65 	87.02 	100.00 	108.54 	115.78 	112.37 	114.59 	121.16 	136.03 	138.57 	129.26 
A,DW_EXST,I15_A_AVG,SI	: 	: 	120.13 	125.85 	116.25 	118.67 	119.46 	112.80 	106.84 	99.44 	100.00 	103.77 	111.89 	121.83 	131.56 	137.85 	153.75 	177.53 	190.45 
A,DW_EXST,I15_A_AVG,SK	: 	: 	: 	: 	: 	93.94 	93.03 	91.57 	92.75 	93.98 	100.00 	106.96 	112.77 	121.96 	135.34 	149.64 	160.81 	180.29 	181.01 
A,DW_EXST,I15_A_AVG,TR	: 	: 	: 	: 	: 	57.15 	62.06 	68.76 	76.62 	86.23 	100.00 	112.68 	125.09 	135.19 	140.78 	173.86 	235.87 	597.87 	1180.88 
A,DW_EXST,I15_A_AVG,UK	78.56 	84.86 	93.46 	89.17 	81.34 	86.30 	84.79 	85.17 	87.33 	94.34 	100.00 	106.81 	111.63 	115.12 	116.28 	: 	: 	: 	: 
A,DW_EXST,RCH_A_AVG,AT	: 	: 	: 	: 	: 	: 	5.4 	5.9 	5.0 	3.7 	5.8 	5.9 	6.0 	6.3 	6.0 	7.7 	13.1 	11.6 	-4.1 
A,DW_EXST,RCH_A_AVG,BE	: 	11.6 	8.9 	5.0 	-0.1 	3.0 	3.5 	2.5 	1.0 	0.0 	1.2 	2.1 	3.4 	3.1 	4.0 	4.2 	6.8 	5.6 	2.4 
A,DW_EXST,RCH_A_AVG,BG	: 	14.7 	28.9 	25.0 	-21.4 	-10.1 	-6.1 	-2.7 	-1.8 	0.5 	2.3 b	7.3 	9.7 	7.0 	4.8 	6.0 	9.2 	15.6 b	10.6 
A,DW_EXST,RCH_A_AVG,CY	: 	: c	: c	: c	: c	: c	1.6 	-4.5 	-4.4 	0.7 	-1.6 b	-0.6 	1.4 	0.3 	1.0 	0.1 	0.6 	1.9 	2.5 
A,DW_EXST,RCH_A_AVG,CZ	: 	: 	: 	: 	-4.8 	-1.6 	0.3 	-1.3 	-0.1 	2.5 	4.0 	7.3 	11.4 	8.1 	9.3 	8.3 	20.0 	16.5 	-1.7 
A,DW_EXST,RCH_A_AVG,DE	: 	-0.3 	-2.8 	1.1 	0.1 	0.8 	3.3 	3.5 	3.4 	3.0 	4.6 	7.6 	6.4 	6.7 	6.2 	8.0 	12.3 	5.1 	-9.5 
A,DW_EXST,RCH_A_AVG,DK	: 	24.0 	2.3 	-5.1 	-12.2 	2.9 	-1.9 	-2.9 	3.5 	3.7 	6.9 	4.6 	5.0 	4.5 	2.2 	4.4 	11.8 	4.8 	-4.3 
A,DW_EXST,RCH_A_AVG,EA	: 	: 	: 	: 	: 	: 	1.4 	-1.7 	-2.1 	0.2 	1.5 	4.1 	4.6 	4.9 	4.4 	5.3 	8.3 	6.9 	-2.2 
A,DW_EXST,RCH_A_AVG,EA19	: 	: 	: 	: 	: 	: 	1.4 	-1.7 	-2.1 	0.3 	1.5 	4.1 	4.6 	4.9 	4.4 	5.3 	8.3 	6.9 	-2.2 
A,DW_EXST,RCH_A_AVG,EA20	: 	: 	: 	: 	: 	: 	1.4 	-1.7 	-2.1 	0.3 	1.5 	4.1 	4.6 	4.9 	4.4 	5.3 	8.3 	6.9 	-2.1 
A,DW_EXST,RCH_A_AVG,EE	: 	58.3 	13.3 	-10.8 	-38.7 	3.3 	8.5 	5.7 	11.4 	11.0 	4.9 	4.3 	5.9 	4.0 	6.7 	3.5 	17.1 	25.4 	1.6 
A,DW_EXST,RCH_A_AVG,ES	: 	: 	8.2 	-6.2 	-9.0 	-1.2 	-9.4 	-14.8 	-10.9 	0.1 	3.4 	4.3 	6.2 	6.8 	4.8 	1.4 	3.6 	7.3 	3.3 
A,DW_EXST,RCH_A_AVG,EU	: 	: 	: 	: 	: 	: 	0.3 	-1.6 	-1.0 	1.9 	2.9 	4.9 	5.0 	4.8 	4.3 	5.6 	8.8 	7.4 	-1.6 
A,DW_EXST,RCH_A_AVG,EU27_2020	: 	: 	: 	: 	: 	: 	0.7 	-1.9 	-1.7 	0.8 	2.3 	4.5 	5.0 	5.0 	4.9 	5.7 	8.8 	7.4 	-1.6 
A,DW_EXST,RCH_A_AVG,EU28	: 	: 	: 	: 	: 	: 	0.3 	-1.6 	-1.0 	1.9 	2.9 	4.9 	5.0 	4.8 	4.3 	: 	: 	: 	: 
A,DW_EXST,RCH_A_AVG,FI	: 	: c	: c	: c	: c	8.6 	2.6 	1.2 	0.7 	-0.9 	-0.5 b	1.1 	0.6 	0.7 	0.1 	1.4 	4.3 	0.5 	-6.8 
A,DW_EXST,RCH_A_AVG,FR	: 	12.0 	6.6 	0.8 	-7.1 	5.1 	5.9 	-0.5 	-2.1 	-1.8 	-1.8 	0.9 	3.0 	3.0 	3.3 	5.6 	6.6 	6.4 	-0.7 
A,DW_EXST,RCH_A_AVG,HR	: 	: 	: 	: 	-6.8 	-5.2 	-1.0 	-2.5 	-4.2 	-1.3 	-1.4 	1.8 	4.6 	6.6 	9.1 	8.5 	7.2 	14.5 	12.4 
A,DW_EXST,RCH_A_AVG,HU	: 	: 	: 	2.4 	-5.6 	-1.9 	-3.4 	-4.0 	-2.8 	4.2 	13.3 	13.5 	11.9 	14.4 	17.4 	3.9 	16.1 	22.5 	5.9 p
A,DW_EXST,RCH_A_AVG,IE	: 	: 	: 	: 	: 	: 	-17.2 	-13.6 	2.6 	17.4 	10.9 	7.4 	11.9 	10.1 	1.8 	-0.3 	9.9 	13.5 	1.2 
A,DW_EXST,RCH_A_AVG,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19.5 d	8.2 d	4.4 d	6.4 d	12.5 d	21.0 d	7.8 d
A,DW_EXST,RCH_A_AVG,IT	: 	: 	: 	: 	: 	: 	0.4 	-4.6 	-8.7 	-5.5 	-4.5 	0.1 	-1.2 	-1.0 	-0.4 	1.9 	2.2 	3.4 	0.4 
A,DW_EXST,RCH_A_AVG,LT	: 	: 	33.7 	5.2 	-31.3 	-4.3 	5.9 	-1.8 	2.2 	6.8 	3.4 	6.5 	8.6 	7.1 	7.0 	7.7 	17.1 	18.3 	6.8 
A,DW_EXST,RCH_A_AVG,LU	: 	: 	: 	1.5 	-3.6 	5.9 	4.8 	3.9 	3.3 	5.1 	3.9 	6.2 	5.7 	7.8 	10.9 	14.7 	14.9 	8.8 	-11.1 
A,DW_EXST,RCH_A_AVG,LV	: 	: 	38.0 	0.6 	-37.0 	-12.3 	6.0 	0.7 	7.4 	5.3 	-2.1 	8.5 	8.9 	10.2 	8.9 	2.5 	14.0 	14.2 	0.8 
A,DW_EXST,RCH_A_AVG,MT	: 	: 	: 	: 	-6.9 	-3.6 	0.1 	3.5 	3.9 	3.0 	5.0 	6.8 	5.4 	4.4 	5.0 	6.5 	2.2 	5.9 	6.8 p
A,DW_EXST,RCH_A_AVG,NL	: 	4.6 	4.2 	3.0 	-3.4 	-2.3 	-2.4 	-6.4 	-6.6 	0.9 	3.0 	5.5 	8.1 	9.2 	7.0 	7.9 	15.0 	13.3 	-2.8 
A,DW_EXST,RCH_A_AVG,NO	: 	: 	: 	: 	: 	: 	8.0 	6.9 	4.1 	2.7 	7.1 	8.2 	5.6 	1.1 	2.7 	4.5 	10.1 	5.3 	0.0 
A,DW_EXST,RCH_A_AVG,PL	: 	: 	: 	: 	: 	: 	-0.4 	-5.1 	-3.7 	1.3 	0.7 	2.5 	4.5 	7.5 	10.4 	13.8 	9.3 	11.8 	7.3 
A,DW_EXST,RCH_A_AVG,PT	: 	: 	: 	: 	-1.2 	0.8 	-6.6 	-7.8 	-2.2 	4.3 	4.0 	8.7 	10.4 	11.0 	10.2 	9.1 	9.6 	13.9 	8.7 
A,DW_EXST,RCH_A_AVG,RO	: 	: 	: 	: 	: 	-7.7 	-13.8 	-6.5 	0.2 	-2.2 	3.4 	6.0 	7.3 	5.9 	3.8 	4.9 	5.0 	5.1 	0.6 
A,DW_EXST,RCH_A_AVG,SE	: 	14.6 	13.7 	0.5 	2.5 	9.0 	1.9 	0.9 	6.4 	10.6 	14.9 	8.5 	6.7 	-2.9 	2.0 	5.7 	12.3 	1.9 	-6.7 
A,DW_EXST,RCH_A_AVG,SI	: 	: 	: 	4.8 	-7.6 	2.1 	0.7 	-5.6 	-5.3 	-6.9 	0.6 	3.8 	7.8 	8.9 	8.0 	4.8 	11.5 	15.5 	7.3 
